"الربع","الجنس","العمر","معدل البطالة"
"2017-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.9"
"2017-Q2","إناث","سن العمل الأساسي (35 - 44)","%11.4"
"2017-Q3","ذكور","سن العمل الأساسي (35 - 44)","%1.6"
"2017-Q3","إناث","سن العمل الأساسي (35 - 44)","%11.3"
"2017-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.1"
"2017-Q4","إناث","سن العمل الأساسي (35 - 44)","%12.8"
"2018-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.3"
"2018-Q1","إناث","سن العمل الأساسي (35 - 44)","%13.9"
"2018-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.8"
"2018-Q2","إناث","سن العمل الأساسي (35 - 44)","%10.5"
"2018-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.1"
"2018-Q3","إناث","سن العمل الأساسي (35 - 44)","%10.9"
"2018-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.3"
"2018-Q4","إناث","سن العمل الأساسي (35 - 44)","%8.8"
"2019-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.8"
"2019-Q1","إناث","سن العمل الأساسي (35 - 44)","%12.2"
"2019-Q2","ذكور","سن العمل الأساسي (35 - 44)","%1.4"
"2019-Q2","إناث","سن العمل الأساسي (35 - 44)","%12.8"
"2019-Q3","ذكور","سن العمل الأساسي (35 - 44)","%1.6"
"2019-Q3","إناث","سن العمل الأساسي (35 - 44)","%12.3"
"2019-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.2"
"2019-Q4","إناث","سن العمل الأساسي (35 - 44)","%13.6"
"2020-Q1","ذكور","سن العمل الأساسي (35 - 44)","%1.6"
"2020-Q1","إناث","سن العمل الأساسي (35 - 44)","%12.9"
"2020-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.5"
"2020-Q2","إناث","سن العمل الأساسي (35 - 44)","%16.1"
"2020-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.8"
"2020-Q3","إناث","سن العمل الأساسي (35 - 44)","%16.2"
"2020-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.6"
"2020-Q4","إناث","سن العمل الأساسي (35 - 44)","%13.1"
"2021-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.8"
"2021-Q1","إناث","سن العمل الأساسي (35 - 44)","%13.7"
"2021-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.7"
"2021-Q2","إناث","سن العمل الأساسي (35 - 44)","%16.7"
"2021-Q3","ذكور","سن العمل الأساسي (35 - 44)","%3.2"
"2021-Q3","إناث","سن العمل الأساسي (35 - 44)","%16.8"
"2021-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.5"
"2021-Q4","إناث","سن العمل الأساسي (35 - 44)","%17.1"
"2022-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.7"
"2022-Q1","إناث","سن العمل الأساسي (35 - 44)","%15.3"
"2022-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2022-Q2","إناث","سن العمل الأساسي (35 - 44)","%14.0"
"2022-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2022-Q3","إناث","سن العمل الأساسي (35 - 44)","%14.3"
"2022-Q4","ذكور","سن العمل الأساسي (35 - 44)","%1.9"
"2022-Q4","إناث","سن العمل الأساسي (35 - 44)","%12.1"
"2023-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.6"
"2023-Q1","إناث","سن العمل الأساسي (35 - 44)","%11.9"
"2023-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.4"
"2023-Q2","إناث","سن العمل الأساسي (35 - 44)","%12.5"
"2023-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.2"
"2023-Q3","إناث","سن العمل الأساسي (35 - 44)","%12.3"
"2023-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.3"
"2023-Q4","إناث","سن العمل الأساسي (35 - 44)","%11.3"
"2024-Q1","ذكور","سن العمل الأساسي (35 - 44)","%2.2"
"2024-Q1","إناث","سن العمل الأساسي (35 - 44)","%10.6"
"2024-Q2","ذكور","سن العمل الأساسي (35 - 44)","%2.2"
"2024-Q2","إناث","سن العمل الأساسي (35 - 44)","%8.9"
"2024-Q3","ذكور","سن العمل الأساسي (35 - 44)","%2.3"
"2024-Q3","إناث","سن العمل الأساسي (35 - 44)","%9.7"
"2024-Q4","ذكور","سن العمل الأساسي (35 - 44)","%2.1"
